[hold_object_reward, 1, grasp_reward, 0.25, rotation_reward, 0.2, progress_reward, 0.25, goal_reward, 0.05, 0.2925]1_4
[hold_object_reward, 1, grasp_reward, 0.25, rotation_reward, 0.2, progress_reward, 0.25, goal_reward, 1, 0.2271]
[hold_object_reward, 1, grasp_reward, 0.25, rotation_reward, 0.2, progress_reward, 1, goal_reward, 0.05, 0.1543]
[hold_object_reward, 1, grasp_reward, 0.25, rotation_reward, 0.2, progress_reward, 1, goal_reward, 1, 0.1392]
[hold_object_reward, 1, grasp_reward, 0.25, rotation_reward, 1, progress_reward, 0.25, goal_reward, 0.05, 0.3901]1_4
[hold_object_reward, 1, grasp_reward, 0.25, rotation_reward, 1, progress_reward, 0.25, goal_reward, 1, 0.2061]
[hold_object_reward, 1, grasp_reward, 0.25, rotation_reward, 1, progress_reward, 1, goal_reward, 0.05, 0.2769]
[hold_object_reward, 1, grasp_reward, 0.25, rotation_reward, 1, progress_reward, 1, goal_reward, 1, 0.1973]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 0.2, progress_reward, 0.25, goal_reward, 0.05, 0.2686]1_4
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 0.2, progress_reward, 0.25, goal_reward, 1, 0.2886]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 0.2, progress_reward, 1, goal_reward, 0.05, 0.2993]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 0.2, progress_reward, 1, goal_reward, 1, 0.2964]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 1, progress_reward, 0.25, goal_reward, 0.05, 0.6416]1_4
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 1, progress_reward, 0.25, goal_reward, 1, 0.3145]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 1, progress_reward, 1, goal_reward, 0.05, 0.2354]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 1, progress_reward, 1, goal_reward, 1, 0.2236]

[hold_object_reward, 0.2, grasp_reward, 0.2, rotation_reward, 0.3, open_reward, 0.4, stability_reward, 0.1, 0.3525]1_12
[hold_object_reward, 0.2, grasp_reward, 0.2, rotation_reward, 0.3, open_reward, 0.4, stability_reward, 1, 0.0249]
[hold_object_reward, 0.2, grasp_reward, 0.2, rotation_reward, 0.3, open_reward, 1, stability_reward, 0.1, 0.1816]
[hold_object_reward, 0.2, grasp_reward, 0.2, rotation_reward, 0.3, open_reward, 1, stability_reward, 1, 0.0771]
[hold_object_reward, 0.2, grasp_reward, 0.2, rotation_reward, 1, open_reward, 0.4, stability_reward, 0.1, 0.0361]1_12
[hold_object_reward, 0.2, grasp_reward, 0.2, rotation_reward, 1, open_reward, 0.4, stability_reward, 1, 0.0801]
[hold_object_reward, 0.2, grasp_reward, 0.2, rotation_reward, 1, open_reward, 1, stability_reward, 0.1, 0.043]
[hold_object_reward, 0.2, grasp_reward, 0.2, rotation_reward, 1, open_reward, 1, stability_reward, 1, 0.0195]

[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 0.3, open_reward, 0.4, stability_reward, 0.1, 0.3867]1_12
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 0.3, open_reward, 0.4, stability_reward, 1, 0.1919]
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 0.3, open_reward, 1, stability_reward, 0.1, 0.4487]
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 0.3, open_reward, 1, stability_reward, 1, 0.5234]
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 1, open_reward, 0.4, stability_reward, 0.1, 0.0522]1_12
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 1, open_reward, 0.4, stability_reward, 1, 0.0879]
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 1, open_reward, 1, stability_reward, 0.1, 0.0366]
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 1, open_reward, 1, stability_reward, 1, 0.2271]

[hold_object_reward, 1, grasp_reward, 0.2, rotation_reward, 0.3, open_reward, 0.4, stability_reward, 0.1, 0.0762]1_12
