[position_reward, 10, height_reward, 10, velocity_reward, 2, orientation_reward, 2, stability_reward, 2, contact_penalty, 5, 0.0012]
[position_reward, 10, height_reward, 10, velocity_reward, 2, orientation_reward, 2, stability_reward, 1, contact_penalty, 1, 0.0865]0_8
[position_reward, 10, height_reward, 10, velocity_reward, 2, orientation_reward, 2, stability_reward, 1, contact_penalty, 0.5, 0.8929]
[position_reward, 10, height_reward, 10, velocity_reward, 2, orientation_reward, 2, stability_reward, 1, contact_penalty, 5, 0.0452]
[position_reward, 10, height_reward, 10, velocity_reward, 2, orientation_reward, 2, stability_reward, 5, contact_penalty, 1, 0.0008]0_8
[position_reward, 10, height_reward, 10, velocity_reward, 2, orientation_reward, 2, stability_reward, 5, contact_penalty, 0.5, 0.0004]
[position_reward, 10, height_reward, 10, velocity_reward, 2, orientation_reward, 2, stability_reward, 5, contact_penalty, 5, 0.0032]

[position_reward, 5, height_reward, 2, velocity_reward, 0.1, throw_reward, 3, rotation_penalty, 0.5, contact_penalty, 10, 0.9321]0_1
[position_reward, 5, height_reward, 2, velocity_reward, 0.1, throw_reward, 3, rotation_penalty, 0.5, contact_penalty, 5, 0.9334]
